"GeneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"gene_name"	"gene_chr"	"gene_start"	"gene_end"	"gene_strand"	"gene_length"	"gene_biotype"	"gene_description"
"ENSG00000001630"	95.6693173046403	0.0735223199231974	0.205288684728185	0.358141122198457	0.720237706242443	0.775487996444658	"CYP51A1"	"7"	92112151	92134803	"-"	3584	"protein_coding"	"cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]"
"ENSG00000001631"	162.284649869066	-0.357637266331349	0.165536216031332	-2.16047747680578	0.0307357253716561	0.0494135645435841	"KRIT1"	"7"	92198969	92246166	"-"	6204	"protein_coding"	"KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]"
"ENSG00000002016"	204.418838526067	0.202508242172245	0.143532159260391	1.41089107288397	0.158276734826647	0.214153851237743	"RAD52"	"12"	912077	990053	"-"	4190	"protein_coding"	"RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]"
"ENSG00000002330"	937.33945800908	-0.404137595769524	0.0913290732277766	-4.42507058799991	9.64107531806252e-06	2.57452356696882e-05	"BAD"	"11"	64269830	64284704	"-"	1708	"protein_coding"	"BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]"
"ENSG00000002549"	1421.11638528728	-0.555554329834165	0.0672777650130578	-8.25762166335845	1.48603703286264e-16	8.75572336788927e-16	"LAP3"	"4"	17577192	17607972	"+"	3785	"protein_coding"	"leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]"
"ENSG00000002586"	5416.85059442167	-0.351360296902498	0.0546826130777082	-6.42544818410904	1.31481547778216e-10	5.39677729727876e-10	"CD99"	"X"	2691133	2741309	"+"	4912	"protein_coding"	"CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]"
"ENSG00000002587"	167.600279747649	-0.285664892275257	0.166850652761787	-1.7120993388207	0.0868783632078383	0.126296776203362	"HS3ST1"	"4"	11393150	11429765	"-"	8166	"protein_coding"	"heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]"
"ENSG00000002746"	37.3687970818729	-1.75685434641954	0.353044248587986	-4.97630071427632	6.48109355777568e-07	1.94205577118857e-06	"HECW1"	"7"	43112599	43566001	"+"	13965	"protein_coding"	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]"
"ENSG00000002822"	834.627551841517	0.236169887179915	0.0902262996693019	2.61752823783671	0.00885691598276421	0.0157665812866055	"MAD1L1"	"7"	1815793	2233243	"-"	7230	"protein_coding"	"mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]"
"ENSG00000002834"	11200.6040445435	-1.41507989929913	0.0501164393049058	-28.2358427479226	2.12410280913952e-175	3.23536610057449e-173	"LASP1"	"17"	38869859	38921770	"+"	7061	"protein_coding"	"LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]"
"ENSG00000002919"	449.037684072161	0.304328004457494	0.107590292506126	2.82858236899177	0.00467546677607524	0.00868793101620261	"SNX11"	"17"	48103357	48123074	"+"	3606	"protein_coding"	"sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]"
"ENSG00000003056"	1442.84653614713	0.0291557462182159	0.0712563083896973	0.409167228517713	0.682416942393414	0.742559219251682	"M6PR"	"12"	8940363	8949955	"-"	3777	"protein_coding"	"mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]"
"ENSG00000003137"	210.332619687313	-0.331925313199853	0.139738555532583	-2.37533093092877	0.0175332226587463	0.0295272137254683	"CYP26B1"	"2"	72129238	72148038	"-"	5015	"protein_coding"	"cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]"
"ENSG00000003147"	29.6889448447854	1.39702863309599	0.382478003234679	3.65257249117883	0.000259626270029104	0.000580789666733712	"ICA1"	"7"	8113184	8262687	"-"	4891	"protein_coding"	"islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]"
"ENSG00000003249"	144.286748858039	-0.502484046698733	0.18508858457842	-2.71483002500263	0.00663097943639887	0.0120737350751048	"DBNDD1"	"16"	90004865	90020128	"-"	4791	"protein_coding"	"dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]"
"ENSG00000003393"	1069.09563083408	0.50291774125284	0.0974280379816627	5.16194056322365	2.44402898098101e-07	7.6343029123679e-07	"ALS2"	"2"	201700554	201781189	"-"	10384	"protein_coding"	"ALS2, alsin Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:443]"
"ENSG00000003400"	146.541357059595	-0.297088333030783	0.17936953157001	-1.65629207162659	0.0976626853048165	0.140137630070062	"CASP10"	"2"	201182881	201229406	"+"	7598	"protein_coding"	"caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]"
"ENSG00000003402"	1879.91420997336	0.62969509379609	0.0624420704286115	10.0844685237656	6.47144411627916e-24	5.6214961199796e-23	"CFLAR"	"2"	201116104	201176687	"+"	22529	"protein_coding"	"CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]"
"ENSG00000003436"	912.543315552977	-0.224577542594669	0.0985643435771425	-2.27848666611268	0.0226975980419829	0.0374134627962998	"TFPI"	"2"	187464230	187565760	"-"	11714	"protein_coding"	"tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]"
"ENSG00000003509"	222.496526684879	0.647541957931223	0.146818370701765	4.41049682567714	1.03133718011907e-05	2.74594862910206e-05	"NDUFAF7"	"2"	37231631	37253403	"+"	3651	"protein_coding"	"NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]"
"ENSG00000003756"	1263.79352876537	-0.552835370765645	0.0757254985010103	-7.30051807791361	2.86661772101318e-13	1.40625149936437e-12	"RBM5"	"3"	50088908	50119021	"+"	10368	"protein_coding"	"RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]"
"ENSG00000003987"	20.8694668670104	0.738272943167224	0.441075895621517	1.67380024729515	0.0941698637410778	0.135608834952049	"MTMR7"	"8"	17298030	17413528	"-"	5692	"protein_coding"	"myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]"
"ENSG00000003989"	848.849643369968	0.741327084120822	0.0867582054895742	8.54474893685886	1.28816007194953e-17	7.99074780115789e-17	"SLC7A2"	"8"	17497088	17570573	"+"	7905	"protein_coding"	"solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]"
"ENSG00000004059"	1131.84652354853	-0.386900069835461	0.083808420353418	-4.6164820695094	3.90299727495657e-06	1.09011819313602e-05	"ARF5"	"7"	127588345	127591705	"+"	1871	"protein_coding"	"ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]"
"ENSG00000004139"	28.100640934292	0.320971180540483	0.372809512243456	0.860952228951923	0.389264354101112	0.465990415025407	"SARM1"	"17"	28364356	28404049	"+"	11137	"protein_coding"	"sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]"
"ENSG00000004142"	2941.36303724213	0.209691431655132	0.0551368901325945	3.80310589064528	0.00014289324018394	0.000331278759339707	"POLDIP2"	"17"	28347177	28357522	"-"	2121	"protein_coding"	"DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]"
"ENSG00000004399"	940.136508120797	-0.143889730920449	0.0871661473077673	-1.65075244650199	0.0987891338076192	0.141598065265668	"PLXND1"	"3"	129555175	129606818	"-"	9738	"protein_coding"	"plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]"
"ENSG00000004455"	2191.22208058764	0.174903638937422	0.0583567155557291	2.99714672547659	0.00272519513992578	0.00524645251315458	"AK2"	"1"	33007940	33080996	"-"	5727	"protein_coding"	"adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]"
"ENSG00000004468"	11.5462833730385	-0.903503117074757	0.628050168206876	-1.4385843087254	0.150268334745715	0.204414896253256	"CD38"	"4"	15778275	15853230	"+"	6855	"protein_coding"	"CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]"
"ENSG00000004478"	2631.80358815834	0.150164476624018	0.0597139850090864	2.51472877921592	0.0119123986009655	0.0207613390820498	"FKBP4"	"12"	2794953	2805423	"+"	5180	"protein_coding"	"FK506 binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3720]"
"ENSG00000004487"	1512.06036434831	-0.403302500196999	0.0651640670477825	-6.18903206120132	6.05347713135762e-10	2.36062591099634e-09	"KDM1A"	"1"	23019443	23083689	"+"	5440	"protein_coding"	"lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]"
"ENSG00000004534"	1397.6067630074	-0.677060945627952	0.0720622104101611	-9.39550621295518	5.69433390905854e-21	4.24015647903952e-20	"RBM6"	"3"	49940007	50100045	"+"	7302	"protein_coding"	"RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]"
"ENSG00000004660"	205.9748360708	1.52426066356415	0.148008502394378	10.2984669049799	7.15931587554314e-25	6.47875973113857e-24	"CAMKK1"	"17"	3860315	3894891	"-"	7424	"protein_coding"	"calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]"
"ENSG00000004700"	692.184220879561	-0.0112835626964912	0.0968736795264274	-0.116477073562722	0.907274455057041	0.929261665552432	"RECQL"	"12"	21468911	21501669	"-"	3778	"protein_coding"	"RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]"
"ENSG00000004766"	576.055994205243	0.0916855206085336	0.103772257221078	0.883526320654327	0.37695196799857	0.453367920857634	"VPS50"	"7"	93232340	93361121	"+"	9557	"protein_coding"	"VPS50, EARP/GARPII complex subunit [Source:HGNC Symbol;Acc:HGNC:25956]"
"ENSG00000004777"	260.548347848545	-1.49222909398775	0.151424921227583	-9.85458061916384	6.5489519627012e-23	5.40499340097614e-22	"ARHGAP33"	"19"	35774532	35788822	"+"	5260	"protein_coding"	"Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]"
"ENSG00000004779"	587.16851493957	-0.436933073733786	0.0963891071190004	-4.53301298033973	5.8148240313257e-06	1.59599023903505e-05	"NDUFAB1"	"16"	23581002	23596356	"-"	1600	"protein_coding"	"NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]"
"ENSG00000004799"	34.3043328511605	-0.652358326015503	0.351634966374376	-1.85521460718714	0.0635655865749506	0.0956281032533776	"PDK4"	"7"	95583499	95596491	"-"	4519	"protein_coding"	"pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]"
"ENSG00000004864"	1095.94513441746	0.152642427491512	0.0743094100173898	2.05414667477228	0.0399614977331525	0.0627360684419839	"SLC25A13"	"7"	96120220	96322147	"-"	3710	"protein_coding"	"solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]"
"ENSG00000004866"	312.500411120686	-0.860284621526768	0.11935840825518	-7.20757451529964	5.69572731918101e-13	2.74250607443758e-12	"ST7"	"7"	116953238	117230103	"+"	6742	"protein_coding"	"suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]"
"ENSG00000004897"	3393.86868502416	0.0726412426759603	0.0569143401677622	1.27632583390831	0.201840361621927	0.264880289233935	"CDC27"	"17"	47117703	47189422	"-"	6824	"protein_coding"	"cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]"
"ENSG00000004948"	69.8079915232807	-1.18224068003004	0.25736510234556	-4.59363242823289	4.35596370743058e-06	1.20916899449859e-05	"CALCR"	"7"	93424487	93574730	"-"	4227	"protein_coding"	"calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]"
"ENSG00000004961"	874.047049673412	-0.298502698710135	0.080217586792519	-3.72116278544013	0.000198307548000039	0.000450363643110807	"HCCS"	"X"	11111301	11123078	"+"	2335	"protein_coding"	"holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]"
"ENSG00000004975"	1366.28997880175	0.00889556399690346	0.0769644999081755	0.115580092218056	0.907985341258388	0.929804066426082	"DVL2"	"17"	7225341	7234545	"-"	5350	"protein_coding"	"dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]"
"ENSG00000005001"	47.9924089271806	2.48326764131454	0.340028661370484	7.30311271792718	2.81185425666659e-13	1.37982666298433e-12	"PRSS22"	"16"	2852727	2858170	"-"	2387	"protein_coding"	"serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]"
"ENSG00000005007"	4081.6040281253	-0.0997983707091552	0.0609948907918508	-1.63617590610538	0.101802777485633	0.145362347209856	"UPF1"	"19"	18831938	18868236	"+"	8600	"protein_coding"	"UPF1, RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]"
"ENSG00000005020"	958.737396224437	0.282923821787336	0.0780694092600648	3.62400362022543	0.000290077541140205	0.00064439288554649	"SKAP2"	"7"	26667062	26995239	"-"	5520	"protein_coding"	"src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]"
"ENSG00000005022"	5638.76644900625	-0.754908707412583	0.0519155380350636	-14.5410937839596	6.65211904174197e-48	1.26340986837233e-46	"SLC25A5"	"X"	119468400	119471319	"+"	1500	"protein_coding"	"solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]"
"ENSG00000005059"	424.959381706499	-0.60589330276084	0.104685805696187	-5.78773118983513	7.13434590033882e-09	2.55125005417974e-08	"MCUB"	"4"	109560205	109688726	"+"	3566	"protein_coding"	"mitochondrial calcium uniporter dominant negative beta subunit [Source:HGNC Symbol;Acc:HGNC:26076]"
"ENSG00000005075"	542.168094681596	-0.166130094067671	0.0924038493303588	-1.79786984277818	0.0721976361307723	0.107209378096004	"POLR2J"	"7"	102473118	102478907	"-"	1355	"protein_coding"	"RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]"
"ENSG00000005100"	1510.256582814	0.293536397861557	0.0715469600881692	4.10270957004776	4.08339699525166e-05	0.000101174068891853	"DHX33"	"17"	5440912	5469060	"-"	5872	"protein_coding"	"DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]"
"ENSG00000005156"	606.071807301587	-0.766336028292474	0.0914405922335149	-8.38069843571722	5.26145467401045e-17	3.15564205477492e-16	"LIG3"	"17"	34980494	35009743	"+"	12919	"protein_coding"	"DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]"
"ENSG00000005175"	654.169767587871	-0.104971829458357	0.0996228083711996	-1.05369273537469	0.29202361600098	0.36476869994796	"RPAP3"	"12"	47661249	47706061	"-"	5381	"protein_coding"	"RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]"
"ENSG00000005189"	125.736398684046	0.0461265452475874	0.176018788811804	0.262054667907668	0.793279295491686	0.83851921683689	"REXO5"	"16"	20806429	20849668	"+"	4114	"protein_coding"	"RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]"
"ENSG00000005194"	921.944044319528	0.337810863629339	0.0774981995336111	4.35895111966866	1.30687295999658e-05	3.43146161744111e-05	"CIAPIN1"	"16"	57428169	57447528	"-"	3509	"protein_coding"	"cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]"
"ENSG00000005206"	1035.43841071198	-0.347901090024642	0.0738397634156887	-4.71156831944459	2.45817658951486e-06	6.99659364534627e-06	"SPPL2B"	"19"	2328615	2354806	"+"	7130	"protein_coding"	"signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]"
"ENSG00000005238"	551.333424022157	0.303365006260748	0.0974239358115573	3.11386522966526	0.00184653813504917	0.00364614846227654	"FAM214B"	"9"	35104112	35116341	"-"	6409	"protein_coding"	"family with sequence similarity 214 member B [Source:HGNC Symbol;Acc:HGNC:25666]"
"ENSG00000005243"	136.156586706808	-1.10571327348202	0.174535475617381	-6.33517781740816	2.37067704177606e-10	9.53975820316057e-10	"COPZ2"	"17"	48026167	48038030	"-"	1851	"protein_coding"	"coatomer protein complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]"
"ENSG00000005249"	82.0906863934299	-3.26497142777818	0.28771410618929	-11.3479713282814	7.59033476197909e-30	8.22321901255538e-29	"PRKAR2B"	"7"	107044649	107161811	"+"	4318	"protein_coding"	"protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]"
"ENSG00000005302"	614.944923567456	0.132419896585783	0.0891653071957782	1.48510559488156	0.13751585424279	0.189107347963804	"MSL3"	"X"	11758159	11775772	"+"	9780	"protein_coding"	"MSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7370]"
"ENSG00000005339"	2285.57236269045	0.300594152195822	0.0605216566672465	4.96672048897332	6.80946232570383e-07	2.03767299005306e-06	"CREBBP"	"16"	3725054	3880726	"-"	15492	"protein_coding"	"CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]"
"ENSG00000005379"	389.985508339259	-2.26324390074391	0.138335961780036	-16.3604884197981	3.66179197123783e-60	9.3888346142538e-59	"TSPOAP1"	"17"	58301228	58328760	"-"	11354	"protein_coding"	"TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]"
"ENSG00000005436"	394.360726970005	0.755500751215782	0.109480678841403	6.90076787256884	5.17221903054015e-12	2.33752695551791e-11	"GCFC2"	"2"	75652000	75710989	"-"	5465	"protein_coding"	"GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]"
"ENSG00000005448"	387.517204636992	0.541207332199369	0.107548894524492	5.03219800251988	4.84888073692981e-07	1.47014547215073e-06	"WDR54"	"2"	74421678	74425755	"+"	2860	"protein_coding"	"WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]"
"ENSG00000005469"	184.229715715925	-0.83543959171204	0.160374941974613	-5.20929006380741	1.89564561064332e-07	5.9759450971592e-07	"CROT"	"7"	87345681	87399795	"+"	4979	"protein_coding"	"carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]"
"ENSG00000005483"	1135.78167605554	0.0261322573337741	0.0763419978018355	0.342305128058173	0.73212127679637	0.785586505003512	"KMT2E"	"7"	105014179	105114361	"+"	9231	"protein_coding"	"lysine methyltransferase 2E [Source:HGNC Symbol;Acc:HGNC:18541]"
"ENSG00000005486"	919.221202284156	0.288471399961109	0.076532172996412	3.76928275608524	0.000163717335683275	0.000376701688924844	"RHBDD2"	"7"	75842602	75888926	"+"	2441	"protein_coding"	"rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]"
"ENSG00000005700"	1766.63520791474	0.639088104101768	0.079553852717658	8.0334023088729	9.48061489138993e-16	5.32687288126891e-15	"IBTK"	"6"	82169983	82247754	"-"	8722	"protein_coding"	"inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]"
"ENSG00000005801"	743.645305303275	0.646718767143771	0.0877270889364297	7.37193921494884	1.68163694697521e-13	8.38040258900765e-13	"ZNF195"	"11"	3339261	3379222	"-"	11711	"protein_coding"	"zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]"
"ENSG00000005810"	1293.47473384071	0.5665940821685	0.0719207427112561	7.87803435850538	3.32571280903204e-15	1.82073899836829e-14	"MYCBP2"	"13"	77044655	77327050	"-"	15945	"protein_coding"	"MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:23386]"
"ENSG00000005812"	778.456247743803	0.815902568333379	0.0867763122805128	9.4023650797224	5.33501389808638e-21	3.98610266188251e-20	"FBXL3"	"13"	76992598	77027195	"-"	7082	"protein_coding"	"F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]"
"ENSG00000005882"	278.554580440054	-0.600856119367044	0.136297371880242	-4.4084204345113	1.04127259953057e-05	2.76952587675972e-05	"PDK2"	"17"	50094737	50112152	"+"	5481	"protein_coding"	"pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]"
"ENSG00000005884"	28062.2835091607	0.630323689949163	0.0509281834979109	12.3767165183698	3.49344771779102e-35	4.53146709026114e-34	"ITGA3"	"17"	50055968	50090481	"+"	9802	"protein_coding"	"integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]"
"ENSG00000005889"	1115.11720513732	0.0690103018062192	0.0693136501169435	0.99562354153601	0.319433092058163	0.393694464972859	"ZFX"	"X"	24149173	24216255	"+"	9037	"protein_coding"	"zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869]"
"ENSG00000005893"	5537.27806289934	0.028936464802854	0.0598668594025243	0.483346965109613	0.62884939822475	0.694787355809362	"LAMP2"	"X"	120427827	120469365	"-"	5526	"protein_coding"	"lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]"
"ENSG00000006007"	991.991528584624	-0.0874992086031077	0.0740450322206131	-1.18170262040549	0.237323718227097	0.305215522588669	"GDE1"	"16"	19501689	19522145	"-"	4416	"protein_coding"	"glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]"
"ENSG00000006015"	460.514731604515	0.0140447980735401	0.123974379353374	0.113287907927387	0.909802303598494	0.930983014404631	"REX1BD"	"19"	18588685	18592336	"+"	3370	"protein_coding"	"required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]"
"ENSG00000006025"	285.317099323602	-0.821647630343225	0.129724729159851	-6.33377795941102	2.39229725151661e-10	9.62172573002132e-10	"OSBPL7"	"17"	47807372	47821834	"-"	6572	"protein_coding"	"oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]"
"ENSG00000006062"	940.627364091152	0.441349636776919	0.0806885145780308	5.469795039418	4.50556309442027e-08	1.50747243681082e-07	"MAP3K14"	"17"	45263119	45317145	"-"	5784	"protein_coding"	"mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]"
"ENSG00000006118"	4753.96360371651	0.183454836163202	0.0647137361641325	2.83486701645394	0.00458447648059599	0.00853328326406397	"TMEM132A"	"11"	60924463	60937159	"+"	7271	"protein_coding"	"transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]"
"ENSG00000006125"	5712.4400950616	-0.734244133813372	0.0509131584348531	-14.4215003819276	3.79012696335158e-47	7.05046108877881e-46	"AP2B1"	"17"	35578046	35726409	"+"	7587	"protein_coding"	"adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]"
"ENSG00000006194"	535.0208178699	0.00549836411370579	0.107338364251739	0.0512245938536061	0.95914655450605	0.969830075488789	"ZNF263"	"16"	3263800	3301401	"+"	6945	"protein_coding"	"zinc finger protein 263 [Source:HGNC Symbol;Acc:HGNC:13056]"
"ENSG00000006210"	682.282869319872	2.52239052484843	0.108009575454512	23.3533972727327	1.27286466310358e-120	9.02384791575371e-119	"CX3CL1"	"16"	57372458	57385048	"+"	5983	"protein_coding"	"C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]"
